5,8,9,21,22,30,45
7,10,11,17,19,34,45
4,9,19,21,27,41,44
15,16,21,27,28,33,39
7,8,18,28,31,36,41
4,8,12,26,29,33,37
12,21,26,35,39,44,50
10,13,15,17,33,37,46
9,10,22,29,35,37,46
2,3,8,10,42,46,47
9,14,33,40,41,43,44
3,4,7,14,24,41,43
4,5,10,34,36,44,50
7,8,18,27,38,48,50
6,14,23,31,34,35,42
2,5,14,26,33,35,36
8,12,15,27,31,42,47
1,2,7,32,45,46,48
14,17,20,24,42,47,50
2,10,25,36,46,48,50
2,28,34,37,40,46,47
5,9,20,31,37,49,50
2,5,8,9,24,28,32
6,29,39,40,42,44,48
7,9,18,24,25,31,48
5,7,11,18,26,41,46
13,19,23,26,36,39,47
3,7,13,14,20,21,45
20,22,25,31,34,37,46
10,11,13,20,24,44,46
6,10,16,17,30,38,48
5,13,15,20,45,48,49
4,9,19,22,23,32,41
3,11,14,29,33,38,45
5,6,14,17,31,40,48
5,19,25,31,34,38,48
1,3,5,6,14,18,34
12,20,21,27,36,40,42
6,23,24,43,44,49,50
10,12,22,24,31,40,41
6,18,22,40,41,43,46
6,18,27,30,31,43,48
7,13,33,40,44,49,50
1,10,16,36,39,45,47
20,26,30,32,36,40,48
4,14,20,36,38,42,45
18,19,22,27,30,38,50
2,10,19,21,29,35,40
4,12,28,36,38,45,50
15,21,26,35,36,43,45
4,6,15,16,35,43,44
7,19,20,30,34,47,50
3,5,8,25,29,32,43
5,13,18,25,34,36,44
1,7,20,27,30,35,48
1,8,17,22,39,45,46
10,11,20,21,27,32,49
10,14,16,27,35,40,50
2,8,9,16,27,37,38
3,13,19,43,46,47,50
22,27,29,35,39,45,46
13,15,21,35,36,42,47
10,17,19,25,28,34,41
9,12,13,25,27,44,48
1,2,11,19,27,28,36
14,20,21,24,26,35,44
3,10,19,27,33,37,38
7,9,11,16,17,20,33
2,6,13,31,35,37,39
2,10,15,16,31,34,43
5,6,7,24,27,29,32
13,16,27,39,43,45,50
2,17,20,22,32,33,47
3,6,22,30,32,40,46
8,21,29,31,37,38,41
9,14,21,26,29,32,41
6,17,26,29,30,39,49
20,24,31,33,36,41,49
4,6,9,21,40,42,43
2,10,16,18,22,44,50
2,7,10,14,27,32,35
1,12,13,24,28,36,39
2,16,25,38,40,41,44
1,2,9,22,26,32,47
7,16,22,28,30,34,41
20,26,28,29,35,39,47
3,15,23,24,31,33,47
7,8,23,30,32,33,49
6,12,13,21,24,30,47
8,12,19,20,26,32,46
7,20,24,33,44,48,49
10,11,13,20,22,27,48
2,9,20,27,40,45,49
11,12,28,32,36,38,41
4,6,8,16,21,36,50
1,11,21,38,40,43,45
4,8,26,32,35,36,37
2,4,11,16,25,29,47
9,12,13,15,29,30,41
5,16,22,24,31,33,38
5,16,18,20,23,28,39
4,6,10,22,32,39,50
6,7,10,14,28,29,46
4,17,25,38,41,46,50
4,5,9,15,33,37,42
2,11,12,21,24,38,39
5,7,12,18,33,40,50
13,28,30,34,40,45,49
11,16,22,25,31,41,44
7,12,13,30,38,46,48
3,18,26,28,37,39,40
1,4,11,35,42,45,49
3,8,15,29,34,38,39
4,12,14,16,27,35,41
1,3,17,18,20,23,29
10,11,18,26,36,40,49
6,7,8,11,35,41,44
19,22,29,33,41,45,50
2,6,14,19,25,27,44
1,10,11,16,19,23,39
1,5,11,12,13,23,33
3,11,28,40,43,44,45
8,12,32,33,34,46,47
17,19,32,34,37,44,45
5,11,29,31,38,39,49
3,30,39,44,45,47,49
2,3,12,15,32,33,36
5,6,12,15,18,34,37
1,4,18,19,23,28,29
2,6,9,21,22,32,43
1,6,9,11,31,39,50
1,4,6,7,34,40,46
5,13,27,28,32,45,50
10,15,18,27,28,32,43
2,4,14,28,29,30,43
3,22,32,43,46,47,48
3,5,16,20,31,34,38
5,8,18,21,23,31,48
2,3,23,36,38,40,48
7,14,17,26,29,38,39
6,7,14,15,28,39,42
15,19,22,28,34,36,46
17,25,30,35,36,44,50
4,5,22,30,44,46,50
4,8,18,24,26,35,46
11,23,36,38,42,43,49
1,14,17,19,23,42,48
21,24,25,26,31,42,43
2,7,19,28,36,37,44
3,16,19,21,24,40,46
22,24,31,33,39,45,46
3,15,20,21,23,24,34
1,3,6,19,21,33,47
2,4,7,25,33,43,49
15,17,23,32,38,46,47
14,18,22,25,34,40,46
8,16,24,28,40,41,47
1,4,23,24,31,40,48
4,19,29,34,41,44,46
13,16,18,29,35,36,49
5,8,16,32,36,41,42
10,16,21,29,42,44,50
7,9,14,18,22,32,42
1,6,12,18,26,27,40
7,11,21,22,24,26,35
4,9,25,31,41,48,49
11,20,27,28,32,36,50
2,9,10,14,42,43,44
5,6,7,18,22,34,36
1,2,12,20,24,26,28
3,6,11,24,29,45,50
9,10,16,29,36,37,50
3,6,9,25,30,36,42
1,11,13,17,42,45,49
8,16,19,25,30,33,47
2,3,4,13,21,35,38
1,2,13,15,20,21,45
2,6,22,23,28,30,42
8,9,11,23,25,32,34
3,4,8,10,38,43,47
4,12,15,22,36,44,46
1,18,25,26,30,34,39
2,24,25,28,36,37,46
7,13,30,34,37,38,42
2,23,28,30,31,33,37
9,14,15,19,45,47,50
7,12,15,16,35,45,48
4,6,16,19,29,31,44
5,7,9,10,19,24,40
22,23,25,26,35,40,44
6,17,25,28,30,34,36
4,15,16,17,23,27,47
3,18,19,21,25,46,50
2,7,15,16,18,19,25
8,17,20,23,28,31,33
5,6,12,28,33,41,47
4,17,20,23,25,27,41
1,7,10,15,30,34,47
2,12,19,26,34,44,46
3,7,13,20,22,25,47
12,13,19,26,33,39,43
4,7,13,20,24,30,48
1,2,11,27,31,35,44
6,7,9,12,13,32,37
15,22,25,29,30,31,34
8,20,23,26,38,45,47
1,7,15,30,36,37,46
13,17,19,22,26,28,40
7,12,17,18,37,38,45
2,7,12,19,38,42,50
1,7,29,36,40,42,50
13,15,20,29,31,48,49
7,8,23,28,29,31,37
7,19,22,34,44,46,49
2,11,16,21,32,44,47
2,13,26,28,30,43,46
4,17,26,28,29,41,48
15,16,17,18,43,44,48
4,8,14,25,28,40,41
2,4,5,15,29,40,49
3,11,23,27,39,44,48
5,16,23,24,31,40,48
12,13,28,32,34,35,40
2,9,20,21,23,32,43
1,13,19,26,35,42,49
1,9,25,31,34,35,38
8,19,21,29,33,40,46
5,10,24,30,32,43,48
11,20,30,34,41,47,49
1,2,8,12,24,44,45
7,10,12,31,37,42,44
4,7,13,16,31,32,39
1,12,16,21,29,43,49
13,14,18,19,25,29,38
2,7,9,12,21,30,37
1,7,10,18,23,24,34
12,13,35,41,42,44,47
11,13,19,25,28,46,49
4,5,20,26,28,29,48
18,19,31,33,35,40,50
8,16,22,24,25,30,32
2,12,22,30,32,35,36
1,2,12,15,35,39,45
4,19,21,33,37,38,39
7,8,18,26,33,42,46
5,7,16,20,26,30,36
17,25,28,30,34,46,49
4,5,11,12,31,43,44
15,26,34,41,44,45,46
6,15,29,32,36,45,48
1,3,26,28,36,47,50
5,9,12,19,21,22,49
5,9,14,23,32,33,46
7,15,17,20,32,40,50
5,15,17,22,25,37,46
4,15,17,24,27,32,41
18,19,31,36,38,41,43
1,16,26,28,31,44,45
10,14,20,37,42,44,46
1,3,8,24,35,42,43
1,11,15,21,35,48,49
2,14,26,31,35,39,49
10,12,23,26,39,41,45
9,15,21,28,31,36,38
6,16,22,23,28,29,34
1,13,26,30,37,42,50
7,10,15,17,25,39,45
2,6,16,23,40,41,48
4,5,9,13,29,30,35
10,20,25,29,35,42,45
9,16,17,19,30,38,49
1,2,5,6,16,30,45
3,16,17,23,35,37,47
10,16,18,33,34,37,45
7,14,20,24,35,40,50
9,25,32,34,37,46,50
6,26,32,37,38,39,46
5,6,13,16,31,32,35
7,17,20,22,31,36,48
3,8,9,20,22,36,50
6,22,25,42,43,45,48
12,13,14,31,35,39,50
2,18,20,22,34,43,48
1,2,3,14,17,19,41
4,9,14,18,24,30,45
1,7,8,19,32,38,39
3,6,7,10,25,30,37
2,10,12,18,19,21,34
3,5,11,17,26,42,49
9,12,13,22,25,35,47
5,23,34,35,46,47,50
4,7,14,18,26,40,42
4,8,25,27,32,33,34
2,23,27,34,43,46,49
12,17,29,30,38,40,50
3,6,19,23,26,28,43
1,9,25,35,41,43,50
12,14,23,25,39,40,44
2,24,27,31,40,43,46
3,19,33,36,39,40,42
7,23,28,31,32,39,40
10,18,21,22,37,40,46
9,14,36,37,38,40,48
10,12,13,26,29,39,46
15,17,21,24,28,32,43
9,10,11,20,24,31,48
2,13,24,34,39,40,46
9,10,14,32,35,36,46
1,2,15,18,29,32,36
16,22,28,30,41,46,47
8,17,21,31,34,37,39
5,8,12,23,39,41,48
3,11,22,26,29,46,48
9,13,14,19,37,43,50
5,20,26,33,35,46,48
1,2,9,21,32,33,43
4,10,28,36,40,44,47
16,19,25,26,27,33,45
7,16,19,33,36,48,49
4,5,15,18,22,28,32
7,14,17,18,19,23,41
3,8,9,15,21,27,31
1,9,19,34,37,39,49
6,9,17,19,31,34,46
4,7,12,18,29,47,49
8,11,15,16,26,29,40
7,12,14,18,46,47,49
12,29,33,35,38,41,46
1,11,13,14,25,36,47
8,19,22,41,42,46,47
3,9,17,19,20,44,50
2,4,5,22,32,40,50
1,10,12,21,30,39,40
11,17,18,25,36,41,50
8,14,16,17,19,22,24
6,13,17,20,28,36,44
2,16,17,21,38,43,45
6,13,23,27,35,44,50
4,9,21,22,27,31,34
12,26,30,31,35,39,45
5,6,20,29,42,44,47
10,35,38,40,45,47,48
2,22,37,38,39,42,47
6,15,18,19,20,27,28
3,6,11,18,19,28,41
6,11,22,24,27,29,33
8,9,19,32,37,46,48
3,10,15,31,35,38,42
13,14,23,30,34,36,42
1,6,10,27,42,45,50
1,6,18,21,30,32,37
3,5,7,19,32,34,50
1,2,14,15,21,26,29
14,24,34,39,43,48,50
7,10,18,29,38,43,50
7,17,32,34,39,45,47
3,7,16,18,27,32,37
14,16,20,26,33,36,48
5,7,12,18,26,29,46
3,7,12,17,23,38,40
5,7,12,22,28,43,47
10,12,13,18,25,26,37
2,4,14,18,24,46,47
5,6,28,36,40,46,50
2,4,17,28,35,44,46
3,13,26,27,28,36,45
2,3,8,11,12,37,49
19,26,28,36,40,42,48
1,10,12,30,33,34,36
16,29,32,34,38,39,47
5,15,19,22,37,46,47
9,14,24,26,29,39,49
3,7,8,10,34,43,47
11,13,18,20,23,30,40
10,14,21,26,28,36,50
2,15,25,28,30,35,38
2,4,7,10,14,21,34
1,3,24,25,27,36,47
4,5,31,39,42,45,50
